"Month.Year","All.Jobs..Male.and.Female....Trend","All.Jobs..Male.and.Female....Seasonally.Adjusted","All.Jobs..Male....Trend","All.Jobs..Male....Seasonally.Adjusted","All.Jobs..Female....Trend","All.Jobs..Female....Seasonally.Adjusted","Employed.Full.time..Male.and.Female....Trend","Employed.Full.time..Male.and.Female....Seasonally.Adjusted","Employed.Full.time..Male....Trend","Employed.Full.time..Male....Seasonally.Adjusted","Employed.Full.time..Female....Trend","Employed.Full.time..Female....Seasonally.Adjusted","Employed.Part.time..Male.and.Female....Trend","Employed.Part.time..Male.and.Female....Seasonally.Adjusted","Employed.Part.time..Male....Trend","Employed.Part.time..Male....Seasonally.Adjusted","Employed.Part.time..Female....Trend","Employed.Part.time..Female....Seasonally.Adjusted","New.South.Wales...Trend","New.South.Wales...Seasonally.Adjusted","Victoria...Trend","Victoria...Seasonally.Adjusted","Queensland...Trend","Queensland...Seasonally.Adjusted","South.Australia...Trend","South.Australia...Seasonally.Adjusted","Western.Australia...Trend","Western.Australia...Seasonally.Adjusted","Tasmania...Trend","Tasmania...Seasonally.Adjusted","Northern.Territory...Trend","Australian.Capital.Territory"
"Jan-14",1602529.2,1588215.7,976932.2,972269.3,625597,615946.4,1351247.1,1337638.6,900627.6,897804.5,450619.5,439834,251282.1,250577.1,76304.6,74464.8,174977.5,176112.3,498658.9,487727.3,395777.8,393090,331769.1,333141.9,109116.4,109473.2,186724,185752.7,30504.1,30561.7,20295.1,28475.4
"Feb-14",1603904.5,1604012.2,977842,979885.1,626062.5,624127,1352513.8,1355631.3,901742.6,903342.1,450771.2,452289.1,251390.7,248380.9,76099.4,76543,175291.2,171837.9,499248.6,500419.5,395564.4,394658.8,331854.6,330431.9,109274.6,108859.1,186947.4,190006,30732.8,30575.5,20307.4,28594.1
"Mar-14",1606087.2,1611055.6,979150.2,982928.1,626937,628127.5,1354738.5,1356771.5,903409.5,903878.3,451329,452893.2,251348.7,254284.2,75740.7,79049.9,175608.1,175234.3,500161.7,504142.8,395728.2,397206.1,332114.5,332017.1,109506.7,109449,187311.2,188394.2,30917.9,30913.7,20274.5,28726.6
"Apr-14",1608617.5,1604011.1,980486.8,978929.6,628130.7,625081.5,1357231,1352204.7,905065.7,903716.1,452165.3,448488.6,251386.5,251806.4,75421.1,75213.5,175965.4,176592.9,501185,499587.5,396205.1,394544,332296.4,333209.6,109840.8,109584.8,187709.1,186276.6,31042.4,31723.9,20206.9,28831.2
"May-14",1611061.6,1609844.2,981515,981086.2,629546.6,628757.9,1359400.7,1359228.7,906189.2,906768.6,453211.5,452460.1,251660.9,250615.4,75325.9,74317.6,176335,176297.8,502164.1,501822.6,396824.3,398327.2,332247.5,332147.3,110259.4,110027.5,188109.4,186395.4,31109.1,31266.4,20124.4,28903.6
"Jun-14",1612895.8,1615390.2,982027,984188.4,630868.9,631201.8,1360719.6,1363052.5,906539.8,908302.8,454179.8,454749.7,252176.2,252337.7,75487.2,75885.5,176689,176452.1,502998,503745.7,397311.3,397980.1,331880.4,331653.2,110719.7,111527.6,188554.3,190322.3,31148.4,31168.8,20040,28946
"Jul-14",1613572.9,1613438.9,981926.8,982046.2,631646.1,631392.7,1360752,1365828.7,906112.9,908688.9,454639.1,457139.8,252820.9,247610.2,75813.8,73357.3,177007,174252.9,503651.9,504672.6,397584.8,397952.6,331120,331829,111092.2,110181.7,189012.8,189364.3,31190.8,30982.1,19959,28947.6
"Aug-14",1613172.1,1613727.4,981541.4,980766.8,631630.8,632960.7,1359605.3,1359082.6,905361.1,903728.2,454244.2,455354.4,253566.8,254644.8,76180.3,77038.6,177386.5,177606.2,504065.3,505369.4,397694.8,395418.7,330079.5,331380.7,111273.2,112282.4,189449.5,189538.3,31256.8,31150.5,19884.5,28902.6
"Sep-14",1612239.1,1609523.3,981178.9,978680.7,631060.2,630842.6,1357838.5,1354873.4,904709.9,902220.9,453128.6,452652.6,254400.6,254649.9,76469,76459.8,177931.6,178190,504155.1,501240.2,397847.3,400199.7,329158.7,328064.6,111222.4,110842.7,189828,189215,31355.1,31291.9,19828.8,28808.6
"Oct-14",1611805,1611966.6,981280.7,980886.9,630524.4,631079.7,1356383.9,1357129.2,904634.1,903731.3,451749.8,453397.9,255421.1,254837.4,76646.6,77155.6,178774.6,177681.8,503986.8,504609.7,398354.9,397555.7,328795.5,327884.7,110977.5,111194.8,189998.1,189470.2,31491.1,31581.4,19801.5,28704.2
"Nov-14",1612911.9,1610199.1,982217.2,984090.9,630694.8,626108.2,1356394.2,1354638.1,905505.7,908185.8,450888.5,446452.4,256517.7,255560.9,76711.5,75905.1,179806.3,179655.8,503826.7,505500.7,399589.4,400169.2,329028.2,322818.9,110591.5,110591.4,190008.8,190990,31634.5,31864.7,19831.3,28615.3
"Dec-14",1616089.8,1600577.8,983907.4,976281.8,632182.4,624296,1358493.6,1344132.5,907191.7,899891.4,451301.9,444241.2,257596.2,256445.3,76715.6,76390.4,180880.6,180054.9,503959.1,496116.5,401588.7,398859.5,329804.7,328386.7,110144,107562.7,190035,189898.7,31730.5,31597.9,19932.9,28571.1
