"Month.Year","All.Jobs..Male.and.Female....Trend","All.Jobs..Male....Trend","All.Jobs..Female....Trend","Employed.Full.time..Male.and.Female....Trend","Employed.Full.time..Male....Trend","Employed.Full.time..Female....Trend","Employed.Part.time..Male.and.Female....Trend","Employed.Part.time..Male....Trend","Employed.Part.time..Female....Trend","New.South.Wales...Trend","Victoria...Trend","Queensland...Trend","South.Australia...Trend","Western.Australia...Trend","Tasmania...Trend","Northern.Territory...Trend","Australian.Capital.Territory"
"Jan-14",1602529.2,976932.2,625597,1351247.1,900627.6,450619.5,251282.1,76304.6,174977.5,498658.9,395777.8,331769.1,109116.4,186724,30504.1,20295.1,28475.4
"Feb-14",1603904.5,977842,626062.5,1352513.8,901742.6,450771.2,251390.7,76099.4,175291.2,499248.6,395564.4,331854.6,109274.6,186947.4,30732.8,20307.4,28594.1
"Mar-14",1606087.2,979150.2,626937,1354738.5,903409.5,451329,251348.7,75740.7,175608.1,500161.7,395728.2,332114.5,109506.7,187311.2,30917.9,20274.5,28726.6
"Apr-14",1608617.5,980486.8,628130.7,1357231,905065.7,452165.3,251386.5,75421.1,175965.4,501185,396205.1,332296.4,109840.8,187709.1,31042.4,20206.9,28831.2
"May-14",1611061.6,981515,629546.6,1359400.7,906189.2,453211.5,251660.9,75325.9,176335,502164.1,396824.3,332247.5,110259.4,188109.4,31109.1,20124.4,28903.6
"Jun-14",1612895.8,982027,630868.9,1360719.6,906539.8,454179.8,252176.2,75487.2,176689,502998,397311.3,331880.4,110719.7,188554.3,31148.4,20040,28946
"Jul-14",1613572.9,981926.8,631646.1,1360752,906112.9,454639.1,252820.9,75813.8,177007,503651.9,397584.8,331120,111092.2,189012.8,31190.8,19959,28947.6
"Aug-14",1613172.1,981541.4,631630.8,1359605.3,905361.1,454244.2,253566.8,76180.3,177386.5,504065.3,397694.8,330079.5,111273.2,189449.5,31256.8,19884.5,28902.6
"Sep-14",1612239.1,981178.9,631060.2,1357838.5,904709.9,453128.6,254400.6,76469,177931.6,504155.1,397847.3,329158.7,111222.4,189828,31355.1,19828.8,28808.6
"Oct-14",1611805,981280.7,630524.4,1356383.9,904634.1,451749.8,255421.1,76646.6,178774.6,503986.8,398354.9,328795.5,110977.5,189998.1,31491.1,19801.5,28704.2
"Nov-14",1612911.9,982217.2,630694.8,1356394.2,905505.7,450888.5,256517.7,76711.5,179806.3,503826.7,399589.4,329028.2,110591.5,190008.8,31634.5,19831.3,28615.3
"Dec-14",1616089.8,983907.4,632182.4,1358493.6,907191.7,451301.9,257596.2,76715.6,180880.6,503959.1,401588.7,329804.7,110144,190035,31730.5,19932.9,28571.1
"Jan-15",1620634.5,985858.6,634775.8,1362048.2,909076.1,452972.1,258586.3,76782.6,181803.7,504500.7,403874.3,330991.6,109684.9,190108.4,31739,20096.8,28579.4
"Feb-15",1625442.6,987538.3,637904.4,1365993.8,910554.9,455438.9,259448.9,76983.4,182465.5,505505.7,406023.4,332321.1,109243.1,190155.2,31671.7,20287.6,28628.5
"Mar-15",1629315.7,988489.7,640826.1,1369092.9,911164.5,457928.4,260222.8,77325.2,182897.6,507064.4,407648.9,333348.7,108814.8,190118.8,31560.2,20448.3,28698.4
"Apr-15",1631776.7,988686.6,643090.1,1370846.3,910926.1,459920.3,260930.4,77760.6,183169.8,509270.1,408480.3,333894.8,108392.4,189912.2,31456.7,20552.6,28756.3
"May-15",1633288.5,988615.8,644672.8,1371608.7,910394.1,461214.5,261679.9,78221.7,183458.2,511987.3,408620.5,334129.9,108005.4,189478.9,31414.4,20597,28773.8
"Jun-15",1634722,988665.5,646056.4,1372091.3,909985.2,462106.1,262630.7,78680.3,183950.3,514785.5,408633.7,334289.2,107706.1,188739.5,31443.9,20572.1,28764.8
"Jul-15",1636782.9,989107.8,647675.1,1373068.1,910004.9,463063.2,263714.8,79102.9,184611.9,517435.7,408808.2,334605.5,107543.3,187685.3,31520.8,20513.8,28757
"Aug-15",1639755.3,990032.7,649722.6,1374958.8,910529,464429.8,264796.5,79503.6,185292.8,520015.6,409472.1,335184.2,107526.7,186482.5,31622.4,20458.5,28770
"Sep-15",1643512.7,991294.7,652218,1377766.3,911392.1,466374.2,265746.4,79902.6,185843.9,522731.2,410651.1,335910.3,107620.2,185364.8,31707.3,20413.9,28808.3
"Oct-15",1647722.5,992681.5,655041,1381043.7,912309.7,468734,266678.8,80371.8,186307.1,525641.6,412110.4,336642.5,107776.7,184594.8,31740.8,20373.5,28878.4
"Nov-15",1651462.8,993695.6,657767.2,1383857.2,912728.4,471128.8,267605.5,80967.2,186638.4,528386.4,413475.6,337061.2,107965.2,184164.7,31709.2,20324.6,28978.2
"Dec-15",1654140.3,994289.5,659850.8,1385695.5,912626.9,473068.5,268444.8,81662.5,186782.3,530538.5,414612.1,337081.4,108142.5,183831.3,31634.8,20266.5,29094.6
"Jan-16",1655572.3,994514.8,661057.6,1386456.4,912146.2,474310.3,269115.9,82368.6,186747.3,531743.2,415614,336683.5,108234.8,183440,31539.3,20215.7,29195.8
"Feb-16",1655972.7,994390.8,661581.9,1386248.7,911369.8,474878.9,269723.9,83020.9,186703,531954.2,416525.1,336110.4,108214.7,182887.5,31429.9,20206.6,29282.2
"Mar-16",1655908,994253,661655,1385583.7,910621.9,474961.8,270324.2,83631.1,186693.2,531245.5,417624.9,335686,108119,182179,31330.5,20254.6,29371.8
"Apr-16",1655733,994159.8,661573.2,1384654.7,909949.1,474705.6,271078.3,84210.7,186867.6,529994.4,419202.1,335485.1,107996.5,181340.8,31285.9,20340.3,29485.4
"May-16",1655542.9,994010.5,661532.4,1383428.8,909228.6,474200.2,272114.1,84781.9,187332.2,528805.8,421103.6,335303.4,107914.8,180468.3,31306.8,20442.4,29590.2
"Jun-16",1655443.6,993798.9,661644.8,1382018.2,908443.4,473574.9,273425.4,85355.5,188069.9,528044.6,423015.5,335025.6,107974.8,179726.1,31383.7,20537.6,29668.8
"Jul-16",1655852.3,993865.9,661986.4,1380957.1,908023.4,472933.7,274895.2,85842.5,189052.7,527755.9,424823.6,334565.1,108211.9,179286.5,31474,20595.9,29727
"Aug-16",1657075,994379.3,662695.7,1380701.7,908218.4,472483.3,276373.3,86160.9,190212.4,527827.3,426459.1,333984.1,108650,179260.9,31532.9,20604.1,29761.5
"Sep-16",1659005.1,995544.3,663460.8,1381369.6,909318.4,472051.2,277635.5,86225.9,191409.6,528047.4,427681.6,333495.6,109218,179648,31540.5,20582.2,29776.2
"Oct-16",1661818.9,997445.2,664373.7,1383227.5,911395.8,471831.7,278591.4,86049.4,192541.9,528221.9,428606.3,333365.4,109746.8,180480.2,31532.6,20544.1,29774.3
"Nov-16",1665426.3,999891.1,665535.1,1386169.1,914166.8,472002.2,279257.2,85724.3,193532.9,528252.1,429351.5,333642,110146.7,181675.9,31556.3,20498.4,29752.8
