"X","Monthly.hours.worked.in.all.jobs....Persons...1","Monthly.hours.worked.in.all.jobs......Males...1","Monthly.hours.worked.in.all.jobs......Females...1","X..Monthly.hours.worked.in.all.jobs..employed.full.time.....Persons...1","X..Monthly.hours.worked.in.all.jobs..employed.full.time.......Males...1","X..Monthly.hours.worked.in.all.jobs..employed.full.time.......Females...1","X..Monthly.hours.worked.in.all.jobs..employed.part.time.....Persons...1","X..Monthly.hours.worked.in.all.jobs..employed.part.time.......Males...1","X..Monthly.hours.worked.in.all.jobs..employed.part.time.......Females...1","Monthly.hours.worked.in.all.jobs......New.South.Wales...1","Monthly.hours.worked.in.all.jobs......Victoria...1","Monthly.hours.worked.in.all.jobs......Queensland...1","Monthly.hours.worked.in.all.jobs......South.Australia...1","Monthly.hours.worked.in.all.jobs......Western.Australia...1","Monthly.hours.worked.in.all.jobs......Tasmania...1","Monthly.hours.worked.in.all.jobs......Northern.Territory..","Monthly.hours.worked.in.all.jobs......Australian.Capital.Territory.."
"Jan-14",1588215.7,972269.3,615946.4,1337638.6,897804.5,439834,250577.1,74464.8,176112.3,487727.3,393090,333141.9,109473.2,185752.7,30561.7,20295.1,28475.4
"Feb-14",1604012.2,979885.1,624127,1355631.3,903342.1,452289.1,248380.9,76543,171837.9,500419.5,394658.8,330431.9,108859.1,190006,30575.5,20307.4,28594.1
"Mar-14",1611055.6,982928.1,628127.5,1356771.5,903878.3,452893.2,254284.2,79049.9,175234.3,504142.8,397206.1,332017.1,109449,188394.2,30913.7,20274.5,28726.6
"Apr-14",1604011.1,978929.6,625081.5,1352204.7,903716.1,448488.6,251806.4,75213.5,176592.9,499587.5,394544,333209.6,109584.8,186276.6,31723.9,20206.9,28831.2
"May-14",1609844.2,981086.2,628757.9,1359228.7,906768.6,452460.1,250615.4,74317.6,176297.8,501822.6,398327.2,332147.3,110027.5,186395.4,31266.4,20124.4,28903.6
"Jun-14",1615390.2,984188.4,631201.8,1363052.5,908302.8,454749.7,252337.7,75885.5,176452.1,503745.7,397980.1,331653.2,111527.6,190322.3,31168.8,20040,28946
"Jul-14",1613438.9,982046.2,631392.7,1365828.7,908688.9,457139.8,247610.2,73357.3,174252.9,504672.6,397952.6,331829,110181.7,189364.3,30982.1,19959,28947.6
"Aug-14",1613727.4,980766.8,632960.7,1359082.6,903728.2,455354.4,254644.8,77038.6,177606.2,505369.4,395418.7,331380.7,112282.4,189538.3,31150.5,19884.5,28902.6
"Sep-14",1609523.3,978680.7,630842.6,1354873.4,902220.9,452652.6,254649.9,76459.8,178190,501240.2,400199.7,328064.6,110842.7,189215,31291.9,19828.8,28808.6
"Oct-14",1611966.6,980886.9,631079.7,1357129.2,903731.3,453397.9,254837.4,77155.6,177681.8,504609.7,397555.7,327884.7,111194.8,189470.2,31581.4,19801.5,28704.2
"Nov-14",1610199.1,984090.9,626108.2,1354638.1,908185.8,446452.4,255560.9,75905.1,179655.8,505500.7,400169.2,322818.9,110591.4,190990,31864.7,19831.3,28615.3
"Dec-14",1600577.8,976281.8,624296,1344132.5,899891.4,444241.2,256445.3,76390.4,180054.9,496116.5,398859.5,328386.7,107562.7,189898.7,31597.9,19932.9,28571.1
"Jan-15",1623754,987336,636418.1,1361640.4,909744.8,451895.7,262113.6,77591.2,184522.4,502902.4,403343.5,337563.1,109432.9,190213.9,31519.7,20096.8,28579.4
"Feb-15",1625776,986422.7,639353.3,1366767.2,909338.6,457428.6,259008.8,77084,181924.8,504933.4,406298.3,334368.6,109441,189987.9,31973.4,20287.6,28628.5
"Mar-15",1634291.2,993654.7,640636.5,1374039.4,916673.2,457366.2,260251.8,76981.5,183270.3,507755.9,413628.9,332157.4,111328,187833.4,31823.7,20448.3,28698.4
"Apr-15",1631872.8,987482.6,644390.2,1373060.2,910657.4,462402.7,258812.6,76825.1,181987.5,509454.6,410087,332354,108390.7,191015.9,31276.8,20552.6,28756.3
"May-15",1634717.6,987882.1,646835.5,1372006.9,909239.6,462767.4,262710.7,78642.6,184068.1,511468.4,405779.8,336411.1,108147.4,192231.9,31076.9,20597,28773.8
"Jun-15",1630991.5,988755.1,642236.3,1369418,909141.5,460276.4,261573.5,79613.6,181959.9,514273.9,407523.1,334900.5,105232.7,188521.3,31362.6,20572.1,28764.8
"Jul-15",1637161.1,988575.2,648585.9,1372534.4,909538.5,462995.9,264626.7,79036.7,185590,525281.9,409976,325726.9,107439.5,187717.5,31700.7,20513.8,28757
"Aug-15",1634615,986577.2,648037.8,1370154.8,907646.2,462508.6,264460.2,78931.1,185529.1,521579.6,408197.6,332253.1,106873.4,185736.7,31510.3,20458.5,28770
"Sep-15",1645747.3,993698.9,652048.4,1380705.5,913411.5,467294.1,265041.8,80287.4,184754.3,522857.3,409995.9,337329.1,108459,185791.3,32047.5,20413.9,28808.3
"Oct-15",1652272.4,996451.1,655821.3,1385163.3,916812,468351.2,267109.1,79639,187470,522732.6,415036.5,337554.2,107114.7,188680.9,31775.4,20373.5,28878.4
"Nov-15",1649729.2,990491.3,659237.9,1381282,908873.3,472408.7,268447.2,81618,186829.2,527483.8,412736.4,337028.7,108835.2,183133.8,31407.3,20324.6,28978.2
"Dec-15",1650075.6,993455.8,656619.9,1383496.5,912569.9,470926.5,266579.2,80885.8,185693.3,531571.4,408332.2,337603.4,107589.8,183670,31563.9,20266.5,29094.6
"Jan-16",1658910.3,994924.2,663986.1,1388378.6,911415.6,476963,270531.6,83508.6,187023,534245.8,419278.9,332080.4,108126.4,184006.7,31840.1,20215.7,29195.8
"Feb-16",1660657.2,997567.2,663090,1390441.9,915262.3,475179.6,270215.3,82304.9,187910.4,534120.1,417440.9,336082.3,108301.6,183945.1,31465.1,20206.6,29282.2
"Mar-16",1654234.8,992780.2,661454.6,1383767.7,909070.5,474697.2,270467.2,83709.7,186757.4,530699.9,416341.2,334583.6,108654.5,182881,31366,20254.6,29371.8
"Apr-16",1628189.2,978118.1,650071.1,1355179.3,890719.9,464459.4,273009.9,87398.3,185611.6,525761.8,404778.7,329242.3,108173.2,179446.6,30933,20340.3,29485.4
