"Month","New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory"
"Jan-14",487727.3,393090,333141.9,109473.2,185752.7,30561.7,20295.1,28475.4
"Feb-14",500419.5,394658.8,330431.9,108859.1,190006,30575.5,20307.4,28594.1
"Mar-14",504142.8,397206.1,332017.1,109449,188394.2,30913.7,20274.5,28726.6
"Apr-14",499587.5,394544,333209.6,109584.8,186276.6,31723.9,20206.9,28831.2
"May-14",501822.6,398327.2,332147.3,110027.5,186395.4,31266.4,20124.4,28903.6
"Jun-14",503745.7,397980.1,331653.2,111527.6,190322.3,31168.8,20040,28946
"Jul-14",504672.6,397952.6,331829,110181.7,189364.3,30982.1,19959,28947.6
"Aug-14",505369.4,395418.7,331380.7,112282.4,189538.3,31150.5,19884.5,28902.6
"Sep-14",501240.2,400199.7,328064.6,110842.7,189215,31291.9,19828.8,28808.6
"Oct-14",504609.7,397555.7,327884.7,111194.8,189470.2,31581.4,19801.5,28704.2
"Nov-14",505500.7,400169.2,322818.9,110591.4,190990,31864.7,19831.3,28615.3
"Dec-14",496116.5,398859.5,328386.7,107562.7,189898.7,31597.9,19932.9,28571.1
"Jan-15",502902.4,403343.5,337563.1,109432.9,190213.9,31519.7,20096.8,28579.4
"Feb-15",504933.4,406298.3,334368.6,109441,189987.9,31973.4,20287.6,28628.5
"Mar-15",507755.9,413628.9,332157.4,111328,187833.4,31823.7,20448.3,28698.4
"Apr-15",509454.6,410087,332354,108390.7,191015.9,31276.8,20552.6,28756.3
"May-15",511468.4,405779.8,336411.1,108147.4,192231.9,31076.9,20597,28773.8
"Jun-15",514273.9,407523.1,334900.5,105232.7,188521.3,31362.6,20572.1,28764.8
"Jul-15",525281.9,409976,325726.9,107439.5,187717.5,31700.7,20513.8,28757
"Aug-15",521579.6,408197.6,332253.1,106873.4,185736.7,31510.3,20458.5,28770
"Sep-15",522857.3,409995.9,337329.1,108459,185791.3,32047.5,20413.9,28808.3
"Oct-15",522732.6,415036.5,337554.2,107114.7,188680.9,31775.4,20373.5,28878.4
"Nov-15",527483.8,412736.4,337028.7,108835.2,183133.8,31407.3,20324.6,28978.2
"Dec-15",531571.4,408332.2,337603.4,107589.8,183670,31563.9,20266.5,29094.6
"Jan-16",534245.8,419278.9,332080.4,108126.4,184006.7,31840.1,20215.7,29195.8
"Feb-16",534120.1,417440.9,336082.3,108301.6,183945.1,31465.1,20206.6,29282.2
"Mar-16",530699.9,416341.2,334583.6,108654.5,182881,31366,20254.6,29371.8
"Apr-16",525761.8,404778.7,329242.3,108173.2,179446.6,30933,20340.3,29485.4
"May-16",529535.1,420432.4,340968.6,107609.9,180633,31409.7,20442.4,29590.2
"Jun-16",528724.6,423948.6,333303.3,107256,180523.3,31278.5,20537.6,29668.8
"Jul-16",529313.2,425124.1,334909.6,108417.1,179059.3,31401.3,20595.9,29727
"Aug-16",525310,429213.6,335004,108861.2,179774,31881.3,20604.1,29761.5
"Sep-16",528776.3,426703.3,332061.9,108891.1,178134.6,31827,20582.2,29776.2
"Oct-16",528480.5,425763,333262.9,110125.8,180743.2,31297.5,20544.1,29774.3
"Nov-16",527096.5,429675.3,333760.8,108913,181194.7,31276.7,20498.4,29752.8
"Dec-16",530315,432020.2,334195.1,110786.6,183583.5,31568.1,20439.5,29748.4
"Jan-17",537428.8,444144.5,336722.4,114442.4,193010.8,33717.1,20347.8,29799.8
"Feb-17",523792.5,429398.6,330761.7,107499.6,184985,32040.5,20219.7,29887.9
"Mar-17",526260.4,432545.3,338925.4,109863.2,187352,31714.5,20074.8,29984.1
"Apr-17",524094.5,422903.5,340562.6,112070.7,185011.3,32537.4,19952.8,30102
"May-17",539863,440217.4,349921.7,110850.8,186783.6,33380,19879.6,30246.9
"Jun-17",536782,444113.4,342993.7,112174.2,188582.8,33092.4,19860.7,30425.5
"Jul-17",533347.6,435862.1,344693.7,112641.5,189062.3,33009.3,19875.8,30623.3
"Aug-17",535461,435495.7,346813.6,112317.5,188401.7,32887,19900.6,30839.4
"Sep-17",540763.2,436409.4,346293,112705,190522.6,33256.1,19923.6,31069.5
"Oct-17",543294.9,435406.1,351771.7,112512,184772.6,32864.2,19946.8,31305.3
"Nov-17",543029.3,443009.5,351160.8,112867.9,189204.4,33104.8,19976.1,31525.6
"Dec-17",542605.2,441527.6,348282.6,112033.8,188083.4,33094.7,20033.3,31681.8
"Jan-18",543550.7,443832.3,349763.3,112935,184321.7,33080.4,20130.9,31735.7
"Feb-18",542669.2,442886.3,345922.9,113035.5,186869,33166.9,20252.6,31715.7
"Mar-18",546094.6,442946.8,346946.3,113394.7,185255.7,33241,20377.8,31651.9
"Apr-18",549287.7,446884.7,353605.2,112468,189444.7,35152.4,20476.9,31553.6
"May-18",549014,444483.4,343841.5,114344.2,190334.2,33291.5,20526.9,31451.4
"Jun-18",551346,446322,348012.3,113071.6,192241.4,33442.7,20525.8,31377.5
"Jul-18",549342,450381.7,346847.3,114805.8,190721.9,33653.9,20474.5,31355.7
"Aug-18",553773.4,449534.1,347346.8,113827.9,190303.7,33497,20388.7,31369.4
"Sep-18",549072.9,454372,349317.4,113534.7,192082.4,33097.7,20275.2,31359.8
"Oct-18",548474.7,454814.6,350334,115292.2,192994.6,34293.4,20159.9,31308.9
"Nov-18",551699.9,452793.3,348522.6,114664.3,193598.8,33451.1,20058.9,31235.4
"Dec-18",547294.5,454064.4,350557.2,114460.6,191947,33240.2,19960.1,31174.8
"Jan-19",553026.1,455854.4,355332,114850.5,191650.8,33284.8,19848.1,31185.8
"Feb-19",555011.8,459822.7,357185.4,115737,192343.1,32990.3,19724,31265.5
"Mar-19",562847.2,459006.1,356521.4,116750.7,196070.2,32951.9,19588.1,31380.8
"Apr-19",561485.9,454235.1,354505,116411.3,196912.5,32969.1,19464.3,31515.5
"May-19",561232.5,453921.6,351141.2,115987.6,195575,33211.1,19375.4,31652.4
"Jun-19",559225.2,456876.2,351155.2,117339.1,194376.3,33554.4,19326.9,31777.4
"Jul-19",565514.3,453338.5,353574.6,114897.1,197478.6,33475.1,19315.7,31889.8
"Aug-19",561381.6,461056.7,354739,115412.8,196858.8,33409.7,19344.4,31985.7
"Sep-19",562377,459165.9,357758.5,114886.1,195463.1,33056.5,19390.5,32092.1
"Oct-19",561794.5,458644.9,353898.3,113439.9,197949,34013,19441.3,32195.6
"Nov-19",559891.4,461180.9,353076.3,114353.3,194182.5,33754.5,19477.2,32291.4
"Dec-19",561933.3,465095.6,356587.1,114436.4,194608.6,34018.8,19469.1,32391.5
"Jan-20",560920.3,458319,353316.3,114607.4,198559.5,33723,19395.9,32497.5
"Feb-20",559309.4,457387.5,351302.2,115072.7,195592.9,33774.7,19250.8,32625.8
"Mar-20",559224.9,451977.2,351342.6,114762,198742.7,34214,19067.6,32802.1
"Apr-20",499151.5,409706,317664.9,102493.7,174378.4,30311,18889.2,32991.8
"May-20",501827.1,411721.1,319497.1,104138.3,180028.4,30101.9,18768.5,33183.8
"Jun-20",529713.8,427143.7,327029.1,106544.2,187224.2,31902.4,18741.2,33369.1
"Jul-20",533355.3,432430.5,331584.5,109779.8,187757.4,32973,18804.4,33565.2
"Aug-20",539657.1,411597.6,340230.2,112062.1,194126.3,34406.7,18918.4,33775.4
"Sep-20",547907.5,400732.3,343900.7,112872.4,192954.1,33560.2,19033.6,33962.2
"Oct-20",539313.2,418836,354499.1,114049.9,193337.5,33824.6,19128.9,34085.3
"Nov-20",547776.4,445066.1,351244.7,113923.5,197266.5,34236.6,19201.9,34127.3
"Dec-20",550699.9,443331.7,353369.1,115300.3,196283.1,34779.5,19284.1,34090.5
"Jan-21",515294.6,431980.5,340448.8,111093.8,195956.8,33458.6,19391.5,34004.7
"Feb-21",556386,446369.8,366450.5,115898.8,184322.6,35528,19490.9,33893.2
"Mar-21",560970.1,456569.5,369735.3,116970.8,205308.3,35809.1,19534.9,33777.5
"Apr-21",553551.6,451692.5,364800.9,117032.1,196904.9,35560.7,19504.7,33652.4
"May-21",559512.1,461579.3,372695.8,117487.5,201797.7,35793.1,19437.2,33511.1
"Jun-21",568640.4,425515.5,370470.8,117828.9,203145.5,36149.6,19353.2,33325.6
"Jul-21",530778.4,461861.1,369890.3,119170.5,202464.2,36410.6,19276.7,33124.7
"Aug-21",495856.1,450728.8,342799.7,120347.4,204958.5,36082.4,19242.4,32910.9
"Sep-21",507017.6,435339.5,370031.6,120293.4,205783,36052.4,19255.8,32740
"Oct-21",524725.6,418413.3,367854,119466.4,205228.4,36440.7,19290.5,32622.5
"Nov-21",550881.1,459520.9,369711.6,120711.4,204988.3,36012.6,19317.1,32551.5
"Dec-21",565702,468915.6,371376.6,120540.7,208344.1,36062.5,19319.3,32488.8
"Jan-22",500567.9,415419.4,362146.7,114504.4,213342.9,34797,19307.7,32422.6
"Feb-22",563045.9,462361.2,376069.8,118827.8,207546.3,37113.5,19303.6,34230.4
"Mar-22",558016,468195.5,367232.8,119981,209613.2,35900.4,19342.8,34153
"Apr-22",566537.8,461299.4,378290,119081.3,208920.7,35580.2,19410.6,34084.7
"May-22",578178.2,464855.9,386587.6,119704.6,207783.8,36530.3,19477.6,34080.5
