"REGION","MONTH.YEAR","VALUE"
"New.South.Wales...Trend","Jan-14",498658.9
"New.South.Wales...Trend","Feb-14",499248.6
"New.South.Wales...Trend","Mar-14",500161.7
"New.South.Wales...Trend","Apr-14",501185
"New.South.Wales...Trend","May-14",502164.1
"New.South.Wales...Trend","Jun-14",502998
"New.South.Wales...Trend","Jul-14",503651.9
"New.South.Wales...Trend","Aug-14",504065.3
"New.South.Wales...Trend","Sep-14",504155.1
"New.South.Wales...Trend","Oct-14",503986.8
"New.South.Wales...Trend","Nov-14",503826.7
"New.South.Wales...Trend","Dec-14",503959.1
"New.South.Wales...Trend","Jan-15",504500.7
"New.South.Wales...Trend","Feb-15",505505.7
"New.South.Wales...Trend","Mar-15",507064.4
"New.South.Wales...Trend","Apr-15",509270.1
"New.South.Wales...Trend","May-15",511987.3
"New.South.Wales...Trend","Jun-15",514785.5
"New.South.Wales...Trend","Jul-15",517435.7
"New.South.Wales...Trend","Aug-15",520015.6
"New.South.Wales...Trend","Sep-15",522731.2
"New.South.Wales...Trend","Oct-15",525641.6
"New.South.Wales...Trend","Nov-15",528386.4
"New.South.Wales...Trend","Dec-15",530538.5
"New.South.Wales...Trend","Jan-16",531743.2
"New.South.Wales...Trend","Feb-16",531954.2
"New.South.Wales...Trend","Mar-16",531245.5
"New.South.Wales...Trend","Apr-16",529994.4
"New.South.Wales...Trend","May-16",528805.8
"New.South.Wales...Trend","Jun-16",528044.6
"New.South.Wales...Trend","Jul-16",527755.9
"New.South.Wales...Trend","Aug-16",527827.3
"New.South.Wales...Trend","Sep-16",528047.4
"New.South.Wales...Trend","Oct-16",528221.9
"New.South.Wales...Trend","Nov-16",528252.1
"New.South.Wales...Trend","Dec-16",528059.8
"New.South.Wales...Trend","Jan-17",527784.7
"New.South.Wales...Trend","Feb-17",527758.7
"New.South.Wales...Trend","Mar-17",528187.9
"New.South.Wales...Trend","Apr-17",529234.1
"New.South.Wales...Trend","May-17",530866.5
"New.South.Wales...Trend","Jun-17",533026
"New.South.Wales...Trend","Jul-17",535451.3
"New.South.Wales...Trend","Aug-17",537778.2
"New.South.Wales...Trend","Sep-17",539748.5
"New.South.Wales...Trend","Oct-17",541239
"New.South.Wales...Trend","Nov-17",542329.5
"New.South.Wales...Trend","Dec-17",543140.6
"New.South.Wales...Trend","Jan-18",543909.7
"New.South.Wales...Trend","Feb-18",544806.4
"New.South.Wales...Trend","Mar-18",546150.1
"New.South.Wales...Trend","Apr-18",547812.6
"New.South.Wales...Trend","May-18",549285.5
"New.South.Wales...Trend","Jun-18",550283.4
"New.South.Wales...Trend","Jul-18",550639.2
"New.South.Wales...Trend","Aug-18",550440.6
"New.South.Wales...Trend","Sep-18",549898.5
"New.South.Wales...Trend","Oct-18",549575.1
"New.South.Wales...Trend","Nov-18",549966.7
"New.South.Wales...Trend","Dec-18",551377.4
"New.South.Wales...Trend","Jan-19",553587.3
"New.South.Wales...Trend","Feb-19",556198.1
"New.South.Wales...Trend","Mar-19",558711.7
"New.South.Wales...Trend","Apr-19",560639.7
"New.South.Wales...Trend","May-19",561885.6
"New.South.Wales...Trend","Jun-19",562412.9
"New.South.Wales...Trend","Jul-19",562402.8
"New.South.Wales...Trend","Aug-19",562251.8
"New.South.Wales...Trend","Sep-19",562061.5
"New.South.Wales...Trend","Oct-19",561785.6
"New.South.Wales...Trend","Nov-19",561244.3
"New.South.Wales...Trend","Dec-19",560660.2
"New.South.Wales...Trend","Jan-20",560196.5
"New.South.Wales...Trend","Feb-20",559875.4
"New.South.Wales...Trend","Mar-20",559651.4
"New.South.Wales...Trend","Apr-20",499247.7
"New.South.Wales...Trend","May-20",500485.9
"New.South.Wales...Trend","Jun-20",532219.8
"New.South.Wales...Trend","Jul-20",535132.8
"New.South.Wales...Trend","Aug-20",538436.4
"New.South.Wales...Trend","Sep-20",541887.7
"New.South.Wales...Trend","Oct-20",545472.2
"New.South.Wales...Trend","Nov-20",548953.6
"New.South.Wales...Trend","Dec-20",551957.1
"New.South.Wales...Trend","Jan-21",554433.4
"New.South.Wales...Trend","Feb-21",556610.3
"New.South.Wales...Trend","Mar-21",558259.3
"New.South.Wales...Trend","Apr-21",559484.3
"New.South.Wales...Trend","May-21",560577
"New.South.Wales...Trend","Jun-21",561967.1
"New.South.Wales...Trend","Jul-21",498341
"New.South.Wales...Trend","Aug-21",500429.9
"New.South.Wales...Trend","Sep-21",502743.5
"New.South.Wales...Trend","Oct-21",527166.8
"New.South.Wales...Trend","Nov-21",561285.6
"New.South.Wales...Trend","Dec-21",563156.8
"New.South.Wales...Trend","Jan-22",564784.3
"New.South.Wales...Trend","Feb-22",566485.4
"New.South.Wales...Trend","Mar-22",568727
"New.South.Wales...Trend","Apr-22",571607.1
"New.South.Wales...Trend","May-22",574983
"New.South.Wales...Trend","Jun-22",578897.5
"New.South.Wales...Trend","Jul-22",583098.6
"New.South.Wales...Trend","Aug-22",587233.8
"New.South.Wales...Trend","Sep-22",591115.9
"New.South.Wales...Trend","Oct-22",594565.4
"New.South.Wales...Trend","Nov-22",597244
"New.South.Wales...Trend","Dec-22",599073
"New.South.Wales...Trend","Jan-23",599987.5
"New.South.Wales...Trend","Feb-23",600464.6
"New.South.Wales...Trend","Mar-23",601186.4
"New.South.Wales...Trend","Apr-23",602241.4
"New.South.Wales...Trend","May-23",603245.2
"New.South.Wales...Trend","Jun-23",603738.1
"New.South.Wales...Trend","Jul-23",603524.8
"New.South.Wales...Trend","Aug-23",602523.2
"New.South.Wales...Trend","Sep-23",601076
"New.South.Wales...Trend","Oct-23",599579.7
"New.South.Wales...Trend","Nov-23",598456
"New.South.Wales...Trend","Dec-23",597954.2
"New.South.Wales...Trend","Jan-24",598063.6
"New.South.Wales...Trend","Feb-24",598592.8
"New.South.Wales...Trend","Mar-24",599303.7
"New.South.Wales...Trend","Apr-24",600071.2
"New.South.Wales...Trend","May-24",600854.9
"New.South.Wales...Trend","Jun-24",601577.6
"New.South.Wales...Trend","Jul-24",602230.3
"New.South.Wales...Trend","Aug-24",602949.2
"Victoria...Trend","Jan-14",395777.8
"Victoria...Trend","Feb-14",395564.4
"Victoria...Trend","Mar-14",395728.2
"Victoria...Trend","Apr-14",396205.1
"Victoria...Trend","May-14",396824.3
"Victoria...Trend","Jun-14",397311.3
"Victoria...Trend","Jul-14",397584.8
"Victoria...Trend","Aug-14",397694.8
"Victoria...Trend","Sep-14",397847.3
"Victoria...Trend","Oct-14",398354.9
"Victoria...Trend","Nov-14",399589.4
