REGION,MONTH,YEAR,VALUE
New South Wales,January,2014,498658.9
New South Wales,February,2014,499248.6
New South Wales,March,2014,500161.7
New South Wales,April,2014,501185
New South Wales,May,2014,502164.1
New South Wales,June,2014,502998
New South Wales,July,2014,503651.9
New South Wales,August,2014,504065.3
New South Wales,September,2014,504155.1
New South Wales,October,2014,503986.8
New South Wales,November,2014,503826.7
New South Wales,December,2014,503959.1
New South Wales,January,2015,504500.7
New South Wales,February,2015,505505.7
New South Wales,March,2015,507064.4
New South Wales,April,2015,509270.1
New South Wales,May,2015,511987.3
New South Wales,June,2015,514785.5
New South Wales,July,2015,517435.7
New South Wales,August,2015,520015.6
New South Wales,September,2015,522731.2
New South Wales,October,2015,525641.6
New South Wales,November,2015,528386.4
New South Wales,December,2015,530538.5
New South Wales,January,2016,531743.2
New South Wales,February,2016,531954.2
New South Wales,March,2016,531245.5
New South Wales,April,2016,529994.4
New South Wales,May,2016,528805.8
New South Wales,June,2016,528044.6
New South Wales,July,2016,527755.9
New South Wales,August,2016,527827.3
New South Wales,September,2016,528047.4
New South Wales,October,2016,528221.9
New South Wales,November,2016,528252.1
New South Wales,December,2016,528059.8
New South Wales,January,2017,527784.7
New South Wales,February,2017,527758.7
New South Wales,March,2017,528187.9
New South Wales,April,2017,529234.1
New South Wales,May,2017,530866.5
New South Wales,June,2017,533026
New South Wales,July,2017,535451.3
New South Wales,August,2017,537778.2
New South Wales,September,2017,539748.5
New South Wales,October,2017,541239
New South Wales,November,2017,542329.5
New South Wales,December,2017,543140.6
New South Wales,January,2018,543909.7
New South Wales,February,2018,544806.4
New South Wales,March,2018,546150.1
New South Wales,April,2018,547812.6
New South Wales,May,2018,549285.5
New South Wales,June,2018,550283.4
New South Wales,July,2018,550639.2
New South Wales,August,2018,550440.6
New South Wales,September,2018,549898.5
New South Wales,October,2018,549575.1
New South Wales,November,2018,549966.7
New South Wales,December,2018,551377.4
New South Wales,January,2019,553587.3
New South Wales,February,2019,556198.1
New South Wales,March,2019,558711.7
